session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,candidate_count,accepted_candidates,coverage,threshold,selective_risk_mm
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,146,0.954248366013072,0.714586615562439,5.998963837093903
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,147,0.9607843137254902,0.708054780960083,6.0265387440054115
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,148,0.9673202614379085,0.7077411413192749,6.057580221823718
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,149,0.9738562091503268,0.6812763214111328,6.059201331466216
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,150,0.9803921568627451,0.661277174949646,6.06825104771235
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,151,0.9869281045751634,0.6521342396736145,6.077574020357649
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,152,0.9934640522875817,0.6351815462112427,6.1547073459183155
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,153,153,1.0,0.25346115231513977,6.172364082890367
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,169,1,0.005917159763313609,0.9363537430763245,6.139522947462289
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,169,2,0.011834319526627219,0.9360610842704773,5.4289708918648465
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,169,3,0.01775147928994083,0.9352630376815796,5.089077557546546
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,169,4,0.023668639053254437,0.9340891242027283,5.550908170861582
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,169,5,0.029585798816568046,0.9329564571380615,5.4610576975419285
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,169,6,0.03550295857988166,0.9322818517684937,5.476860538726577
20260717_203329_controller_right,exp2_design_attribution,static_head_motion,trial_001,event_002,exp1_system_characterization/static_head_motion,169,7,0.04142011834319527,0.9322618246078491,5.156243696647739
