segment,variant,active_frames,duration_s,reference_speed_median_m_s,reference_speed_p95_m_s,translation_median_mm,translation_p95_mm,rotation_median_deg,rotation_p95_deg,trailing_distance_median_mm,trailing_distance_p95_mm,cross_track_median_mm,cross_track_p95_mm,effective_lag_ms,lag_compensated_residual_mm,translation_jump_p95_mm,translation_jump_p99_mm,rotation_jump_p99_deg,update_rate_hz,hold_ratio_pct,observation_lag_median_ms,output_target_lag_median_ms,display_coverage_pct
9,EgoAnchor w/o VCD,95,1.5832201000011992,0.32511719249495613,0.4239959463284553,76.50298212942546,87.35419574277529,2.9703541985873527,6.281450915615562,75.92817497565618,87.00650381305269,10.942205430949246,25.315119949606817,315.0,4.39705874003113,7.30115136135471,8.25701365130575,1.076594189238403,60.47590334442502,0.0,216.69260000635404,288.40095717896475,100.0
9,EgoAnchor w/o temporal synthesis,95,1.5832201000011992,0.32511719249495613,0.4239959463284553,55.57990310731905,78.39636564208432,2.7602356516827182,5.4134320825239834,54.91028255967739,78.09506460797314,7.868709314283993,17.378506955889442,240.0,6.944593042368362,25.703799556628987,33.95704967665954,3.35462628855405,8.912238387599476,85.26315789473684,216.69260000635404,216.69260000635404,100.0
9,EgoAnchor w/o StaticLock,95,1.5832201000011992,0.32511719249495613,0.4239959463284553,76.50301274813496,87.35440634999915,2.9703628478649593,6.281445073257881,75.9282433677884,87.00671674116573,10.94220130736578,25.315203936808928,315.0,4.397066999076384,7.301219264567638,8.256814476262802,1.0765934141403184,60.47590334442502,0.0,216.69260000635404,288.40107582800556,100.0
10,Arrival-Hold,138,1.971664000004239,0.38118177123576186,0.5541109451856276,41.542977696753226,73.96147369220627,5.282025058133215,7.68319469811379,41.30774182703724,73.75489030069761,4.698246242239741,11.124066658854296,165.0,10.110559665176254,29.001578733289044,42.47246156060765,5.138839102293926,10.218605085788433,85.5072463768116,219.58064999853377,45.28859999845736,100.0
10,Capture-Hold,138,1.971664000004239,0.38118177123576186,0.5541109451856276,66.69679812850768,105.77175595883494,6.488357319512819,9.581806587705588,66.45208820362787,105.73353156468926,5.496184564174543,13.042140846256908,245.0,9.76064968759209,29.474561300767068,41.66150904954083,5.086339318696177,10.218605085788433,85.5072463768116,219.58064999853377,219.58064999853377,100.0
10,One-Euro Anchor,138,1.971664000004239,0.38118177123576186,0.5541109451856276,98.78338423572725,150.97773858788594,8.424324829294179,11.175130088355068,97.67589730965494,150.77274376775858,12.361179871214922,34.100322920852705,380.0,8.657008526170909,28.7943491008941,43.28825719833539,3.1070689414834023,10.218605085788433,85.5072463768116,219.58064999853377,219.58064999853377,100.0
10,EgoAnchor,138,1.971664000004239,0.38118177123576186,0.5541109451856276,84.91318320015694,117.08299256336637,7.713359239558828,10.213915941022611,84.56355188496684,117.06872052079302,6.641439579662112,19.213781236863042,315.0,7.715366707716969,8.621376758269957,9.81080768236562,1.563579395464536,70.50837509194018,0.0,219.58064999853377,284.2882844088308,100.0
10,EgoAnchor w/o capture-time alignment,138,1.971664000004239,0.38118177123576186,0.5541109451856276,97.22686689974168,139.94852373766335,8.408496858837626,11.344640760921639,96.85056581518282,139.5662594059905,7.765947424593021,29.336576414882206,370.0,7.192628277950204,8.73782287993574,11.39527774834207,1.4906829716473626,70.50837509194018,0.0,219.58064999853377,250.02255000072182,100.0
10,EgoAnchor w/o VCD,138,1.971664000004239,0.38118177123576186,0.5541109451856276,84.91334436903858,117.08431795334539,7.713424201579345,10.213917682035557,84.56395628399319,117.07005692343,6.64145277453669,19.214021808391387,315.0,7.715283483524692,8.618760212106691,9.810316219746955,1.563609500329445,70.50837509194018,0.0,219.58064999853377,284.2894822497328,100.0
10,EgoAnchor w/o temporal synthesis,138,1.971664000004239,0.38118177123576186,0.5541109451856276,66.69679812850768,105.77175595883494,6.488357319512819,9.581806587705588,66.45208820362787,105.73353156468926,5.496184564174543,13.042140846256908,245.0,9.76064968759209,29.474561300767068,41.66150904954083,5.086339318696177,10.218605085788433,85.5072463768116,219.58064999853377,219.58064999853377,100.0
10,EgoAnchor w/o StaticLock,138,1.971664000004239,0.38118177123576186,0.5541109451856276,84.91349003318581,117.08439177747938,7.713431526337696,10.213917139009725,84.56401290929676,117.07014943327316,6.64144579985793,19.214014255102718,315.0,7.715296897506956,8.618783238823573,9.81014239086728,1.5636309710939214,70.50837509194018,0.0,219.58064999853377,284.2901167932723,100.0
11,Arrival-Hold,98,1.4162792999995872,0.3547230752290589,0.4965340748264485,51.367584764817494,77.05930666531273,3.4308479370245766,5.144989868921088,49.93033044882385,76.10336908413964,11.695745515741354,18.750960833821818,190.0,14.20632324422387,27.438052196265417,37.253394501216526,5.1775487784794985,9.318208208908917,86.73469387755102,223.2364499977848,43.23305000070832,100.0
11,Capture-Hold,98,1.4162792999995872,0.3547230752290589,0.4965340748264485,68.95847846650338,97.7071438530194,4.447819796013164,5.891420432380163,68.1020408546646,97.30487891050902,9.436816497896697,19.296860787866134,285.00000000000006,8.878520598187244,28.83655282930577,37.98407849921089,5.287906024411555,9.318208208908917,86.73469387755102,223.2364499977848,223.2364499977848,100.0
11,One-Euro Anchor,98,1.4162792999995872,0.3547230752290589,0.4965340748264485,103.88128307404878,135.77918097924572,4.276605611647943,6.179473177638938,102.86669100405916,135.31811288014683,13.401683241303482,40.80618310136786,405.0,7.907289905712019,25.100503435186287,39.30926741337246,1.7166388723498116,9.318208208908917,86.73469387755102,223.2364499977848,223.2364499977848,100.0
11,EgoAnchor,98,1.4162792999995872,0.3547230752290589,0.4965340748264485,88.16098703677906,111.81536869546831,4.802863086233538,5.78780350483984,87.6335972163272,111.45858888298545,10.920240239014044,26.328879101915355,335.0,5.96158363507859,7.860742281467778,8.866936218675502,1.7389877368643987,70.24495419023644,0.0,223.2364499977848,287.83406797083444,100.0
11,EgoAnchor w/o capture-time alignment,98,1.4162792999995872,0.3547230752290589,0.4965340748264485,99.73465610884838,132.95712043875488,4.807121668901143,5.901402819301177,98.9583159607967,132.4168166443249,15.682513945835725,37.180051478162085,395.0,13.142120004480926,8.221256284785849,10.172428823700383,2.2100632697345395,70.24495419023644,0.0,223.2364499977848,250.02255000072182,100.0
11,EgoAnchor w/o VCD,98,1.4162792999995872,0.3547230752290589,0.4965340748264485,88.16171783385855,111.81643207482546,4.802867206968559,5.787804202856165,87.6345488872318,111.45891068493285,10.920227763565128,26.329160894460042,335.0,5.961302475647765,7.860299213949932,8.867028767148378,1.7389709496652122,70.24495419023644,0.0,223.2364499977848,287.8355379871209,100.0
11,EgoAnchor w/o temporal synthesis,98,1.4162792999995872,0.3547230752290589,0.4965340748264485,68.95847846650338,97.7071438530194,4.447819796013164,5.891420432380163,68.1020408546646,97.30487891050902,9.436816497896697,19.296860787866134,285.00000000000006,8.878520598187244,28.83655282930577,37.98407849921089,5.287906024411555,9.318208208908917,86.73469387755102,223.2364499977848,223.2364499977848,100.0
11,EgoAnchor w/o StaticLock,98,1.4162792999995872,0.3547230752290589,0.4965340748264485,88.16177972757018,111.81673238506403,4.802868113519475,5.787803769435462,87.63465693980669,111.4590772292339,10.920243132848023,26.329211711204703,335.0,5.961278920392912,7.860230289484869,8.866683282934678,1.738981541691758,70.24495419023644,0.0,223.2364499977848,287.8356278233696,100.0
12,Arrival-Hold,115,1.694310899998527,0.35202234144460304,0.5649473790635473,49.31871151438405,79.52578114455834,6.469378002015484,10.121300237111436,48.9197041987628,79.47714919528478,5.009905436303831,15.157406234171766,170.0,9.88179801509697,34.10882294937208,43.59470585300756,3.7958334367332864,9.552323778846707,86.08695652173914,223.51949999574572,48.8513000018429,100.0
12,Capture-Hold,115,1.694310899998527,0.35202234144460304,0.5649473790635473,72.50717654425765,107.0817312249801,8.5123283612168,12.017775233933625,71.74689574394796,107.03465392552042,5.780799657311434,15.814787465635291,260.0,9.494568375981906,30.92498900168778,44.099031221437805,4.042592258934037,9.552323778846707,86.08695652173914,223.51949999574572,223.51949999574572,100.0
12,One-Euro Anchor,115,1.694310899998527,0.35202234144460304,0.5649473790635473,106.54055721268881,151.0298583905947,10.182044386428103,15.28760132031359,105.41574353065249,150.9362035278383,8.395252795767087,39.29494826190007,395.0,9.586666450351977,30.381900565118904,41.895054325099345,3.1263477671586295,9.552323778846707,86.08695652173914,223.51949999574572,223.51949999574572,100.0
12,EgoAnchor,115,1.694310899998527,0.35202234144460304,0.5649473790635473,97.22131023197886,121.96292283280381,9.249100001100658,13.437203614859458,96.62736392431682,121.85391503788328,8.118233140176791,24.490336435486153,340.0,4.298583476011112,9.248689114760493,10.103065929486792,0.9449410175461085,68.65732716046071,0.0,223.51949999574572,293.55714044504566,100.0
12,EgoAnchor w/o capture-time alignment,115,1.694310899998527,0.35202234144460304,0.5649473790635473,108.93572747384744,142.54138705075036,8.835654017940394,15.088068132774632,107.46828204629203,142.47628948565506,7.744056589458239,34.25168958273108,385.0,5.907475722579356,9.402221785480931,11.950837009239656,0.9767515517224072,68.65732716046071,0.0,223.51949999574572,250.02260000474053,100.0
12,EgoAnchor w/o VCD,115,1.694310899998527,0.35202234144460304,0.5649473790635473,97.22147486365634,121.96338917394971,9.249129621993372,13.43730394013433,96.62753724321104,121.85438291120595,8.118210693155289,24.49075508965964,340.0,4.298721772555614,9.24840528086259,10.103875210220648,0.9449494400285557,68.65732716046071,0.0,223.51949999574572,293.5590310153202,100.0
12,EgoAnchor w/o temporal synthesis,115,1.694310899998527,0.35202234144460304,0.5649473790635473,72.50717654425765,107.0817312249801,8.5123283612168,12.017775233933625,71.74689574394796,107.03465392552042,5.780799657311434,15.814787465635291,260.0,9.494568375981906,30.92498900168778,44.099031221437805,4.042592258934037,9.552323778846707,86.08695652173914,223.51949999574572,223.51949999574572,100.0
12,EgoAnchor w/o StaticLock,115,1.694310899998527,0.35202234144460304,0.5649473790635473,97.22154068140306,121.96337593374459,9.249133842233126,13.437315843592442,96.62760602439243,121.85436941133058,8.118182803965817,24.490786186943037,340.0,4.298716577088592,9.248411867113786,10.103931369447688,0.9449385770015458,68.65732716046071,0.0,223.51949999574572,293.559811245359,100.0
13,Arrival-Hold,119,1.7501140999956988,0.29902815163289687,0.49166760225674194,40.97963507336981,81.35671500083646,3.798891772710189,6.335796709827177,40.84712736146163,81.28423991780535,5.026112798880807,10.142142203342814,185.0,7.587768858172629,25.28817829400095,43.76155178992771,3.2967731267424587,9.823559623464972,85.71428571428571,215.80890000041109,48.79429999709828,100.0
