segment,variant,speed_lower_m_s,speed_upper_m_s,speed_mid_m_s,n_frames,translation_median_mm,translation_p95_mm
5,Capture-Hold,0.3,0.4,0.35,30,65.09270321382363,85.03339416111265
5,Capture-Hold,0.4,0.5,0.45,45,74.78603931072,98.7405205343068
5,Capture-Hold,0.5,0.6,0.55,27,91.97310022518994,113.66444151654778
5,One-Euro Anchor,0.1,0.2,0.15000000000000002,25,70.35253529138143,94.68171538653024
5,One-Euro Anchor,0.3,0.4,0.35,30,99.70326101267503,122.8996106745236
5,One-Euro Anchor,0.4,0.5,0.45,45,122.808055304828,145.299857621871
5,One-Euro Anchor,0.5,0.6,0.55,27,129.5088895832944,155.6091220437597
5,EgoAnchor,0.1,0.2,0.15000000000000002,25,44.422842179985985,76.12590643443829
5,EgoAnchor,0.3,0.4,0.35,30,86.12070701153556,94.0306290956417
5,EgoAnchor,0.4,0.5,0.45,45,101.59964642230052,119.21044865662671
5,EgoAnchor,0.5,0.6,0.55,27,112.45270480835212,120.08699092777677
6,Arrival-Hold,0.1,0.2,0.15000000000000002,16,22.342467383814107,37.44796887201396
6,Arrival-Hold,0.2,0.3,0.25,46,36.295635357984246,62.075648889311026
6,Arrival-Hold,0.3,0.4,0.35,39,50.018123695218264,71.88590638887621
6,Arrival-Hold,0.4,0.5,0.45,35,57.08010364540454,75.8288449103214
6,Capture-Hold,0.1,0.2,0.15000000000000002,16,22.49307266122131,52.091532849602224
6,Capture-Hold,0.2,0.3,0.25,46,59.1011692767843,85.52258089970903
6,Capture-Hold,0.3,0.4,0.35,39,72.69269793781959,97.9876041157979
6,Capture-Hold,0.4,0.5,0.45,35,82.33120115136576,107.74751638720097
6,One-Euro Anchor,0.1,0.2,0.15000000000000002,16,31.99349395448349,86.96027427003091
6,One-Euro Anchor,0.2,0.3,0.25,46,97.07916603106614,122.58184218384638
6,One-Euro Anchor,0.3,0.4,0.35,39,105.70910879916443,134.99989551759228
6,One-Euro Anchor,0.4,0.5,0.45,35,120.6852367751451,148.0261593743238
6,EgoAnchor,0.1,0.2,0.15000000000000002,16,23.924882536099453,64.42058321817547
6,EgoAnchor,0.2,0.3,0.25,46,77.70548390261803,101.29107891038129
6,EgoAnchor,0.3,0.4,0.35,39,93.11819067808409,107.1869817242846
6,EgoAnchor,0.4,0.5,0.45,35,108.21087027148162,113.62697259255633
7,Arrival-Hold,0.1,0.2,0.15000000000000002,17,20.238724712970726,30.573421319543606
7,Arrival-Hold,0.2,0.3,0.25,20,37.91137053351303,49.955780181223275
7,Arrival-Hold,0.3,0.4,0.35,32,50.579686230428706,74.85065709681375
7,Arrival-Hold,0.4,0.5,0.45,32,58.295229827013856,75.96042378126346
7,Arrival-Hold,0.5,0.6,0.55,41,61.44165851892285,77.33075279394919
7,Capture-Hold,0.1,0.2,0.15000000000000002,17,34.58726007487674,49.038842671941964
7,Capture-Hold,0.2,0.3,0.25,20,44.811672047377456,68.59219198842732
7,Capture-Hold,0.3,0.4,0.35,32,70.24157683108024,100.14184214127276
7,Capture-Hold,0.4,0.5,0.45,32,83.03292224097603,118.30940332088065
7,Capture-Hold,0.5,0.6,0.55,41,99.85904084264239,123.88680505411008
7,One-Euro Anchor,0.1,0.2,0.15000000000000002,17,72.69492337161627,93.50760920393495
7,One-Euro Anchor,0.2,0.3,0.25,20,56.00458479029585,116.76157758372776
7,One-Euro Anchor,0.3,0.4,0.35,32,105.7431516392272,145.00482092520522
7,One-Euro Anchor,0.4,0.5,0.45,32,132.8178268357238,165.8593937566223
7,One-Euro Anchor,0.5,0.6,0.55,41,144.68600366792222,174.43938607432625
7,EgoAnchor,0.1,0.2,0.15000000000000002,17,52.09061880145316,75.59926912251746
7,EgoAnchor,0.2,0.3,0.25,20,57.64233895298995,96.58597939028061
7,EgoAnchor,0.3,0.4,0.35,32,98.42130717405257,118.32667201279415
7,EgoAnchor,0.4,0.5,0.45,32,115.88402496192259,131.6474613498275
7,EgoAnchor,0.5,0.6,0.55,41,122.62131653443446,129.65171778334556
8,Arrival-Hold,0.1,0.2,0.15000000000000002,14,21.36983279020945,36.00227876769797
8,Arrival-Hold,0.2,0.3,0.25,27,37.842943611752936,55.0548656216055
8,Arrival-Hold,0.3,0.4,0.35,21,38.55100536828802,59.45662267100221
8,Arrival-Hold,0.4,0.5,0.45,44,52.4578377952813,79.68787252906826
8,Arrival-Hold,0.5,0.6,0.55,17,59.44348200978177,70.98769096003223
8,Capture-Hold,0.1,0.2,0.15000000000000002,14,43.066398002897465,54.94130273409295
8,Capture-Hold,0.2,0.3,0.25,27,49.8739134612345,90.473347925966
8,Capture-Hold,0.3,0.4,0.35,21,55.82467664660456,85.6073608415701
8,Capture-Hold,0.4,0.5,0.45,44,71.77598136380055,103.19128568886197
8,Capture-Hold,0.5,0.6,0.55,17,86.0219622099439,99.1532124038907
8,One-Euro Anchor,0.1,0.2,0.15000000000000002,14,80.56565734675425,97.65098388807779
8,One-Euro Anchor,0.2,0.3,0.25,27,57.077857451835584,135.63576031028597
8,One-Euro Anchor,0.3,0.4,0.35,21,100.25544799656402,132.69046457087032
8,One-Euro Anchor,0.4,0.5,0.45,44,102.78689946227271,143.79834172748824
8,One-Euro Anchor,0.5,0.6,0.55,17,124.84078199047721,138.40014458803742
8,EgoAnchor,0.1,0.2,0.15000000000000002,14,54.75160082972985,74.8732502881323
8,EgoAnchor,0.2,0.3,0.25,27,55.274768931183395,105.23935389037361
8,EgoAnchor,0.3,0.4,0.35,21,89.19476869820932,103.51951756548121
8,EgoAnchor,0.4,0.5,0.45,44,86.83138152167581,109.20064543964939
8,EgoAnchor,0.5,0.6,0.55,17,104.81458990635927,110.52596948304013
9,Arrival-Hold,0.1,0.2,0.15000000000000002,19,23.410452346917552,51.67959262592195
9,Arrival-Hold,0.2,0.3,0.25,24,48.55829542324993,72.00037075326105
9,Arrival-Hold,0.3,0.4,0.35,34,49.38916993569821,63.78373795553717
9,Arrival-Hold,0.4,0.5,0.45,18,48.95636293272801,64.73446265771842
9,Capture-Hold,0.1,0.2,0.15000000000000002,19,31.02544130461169,62.983130966802264
9,Capture-Hold,0.2,0.3,0.25,24,58.754359765182045,81.90188148718842
9,Capture-Hold,0.3,0.4,0.35,34,59.484058619475185,75.88379237249649
9,Capture-Hold,0.4,0.5,0.45,18,57.72301866081863,75.11714277295539
9,One-Euro Anchor,0.1,0.2,0.15000000000000002,19,64.79580268641705,103.23329231076292
9,One-Euro Anchor,0.2,0.3,0.25,24,95.83209464712407,113.86614094751178
9,One-Euro Anchor,0.3,0.4,0.35,34,88.0485089035572,114.67923936748535
9,One-Euro Anchor,0.4,0.5,0.45,18,83.55336380436859,100.50976573971784
9,EgoAnchor,0.1,0.2,0.15000000000000002,19,46.61446287768712,67.25044427420977
9,EgoAnchor,0.2,0.3,0.25,24,82.27321018698012,86.29297416334784
9,EgoAnchor,0.3,0.4,0.35,34,79.20161768136293,87.87339679855923
9,EgoAnchor,0.4,0.5,0.45,18,78.38135859141003,87.96308059723339
10,Arrival-Hold,0.1,0.2,0.15000000000000002,17,27.322151091103986,45.05186489061488
10,Arrival-Hold,0.2,0.3,0.25,33,26.84289140928941,41.529004591150425
10,Arrival-Hold,0.3,0.4,0.35,28,41.90282493789228,67.57675055125193
10,Arrival-Hold,0.4,0.5,0.45,34,48.46818404644077,74.96105847692893
10,Arrival-Hold,0.5,0.6,0.55,26,63.04183635341292,79.86459046972294
10,Capture-Hold,0.1,0.2,0.15000000000000002,17,46.81996138481905,78.33382939428421
10,Capture-Hold,0.2,0.3,0.25,33,38.76648168778858,70.45365480573645
10,Capture-Hold,0.3,0.4,0.35,28,57.59079158578348,94.20235566933519
10,Capture-Hold,0.4,0.5,0.45,34,74.49168160901726,112.10855397817102
10,Capture-Hold,0.5,0.6,0.55,26,90.32724953871846,110.03194378064732
10,One-Euro Anchor,0.1,0.2,0.15000000000000002,17,86.86312681534251,125.83426934280526
10,One-Euro Anchor,0.2,0.3,0.25,33,57.729855446530756,117.95282655295965
10,One-Euro Anchor,0.3,0.4,0.35,28,68.80059627112678,133.61989357095447
