variant,phase,phase_index,n_frames,duration_s,head_linear_speed_median_m_s,head_linear_speed_p95_m_s,head_angular_speed_median_deg_s,head_angular_speed_p95_deg_s,translation_median_mm,translation_p95_mm,rotation_median_deg,rotation_p95_deg,hp_translation_rms_mm,hp_translation_p95_mm,hp_rotation_rms_deg,hp_rotation_p95_deg,translation_jump_p99_mm,rotation_jump_p99_deg,update_rate_hz,hold_ratio_pct,static_lock_uptime_pct,display_coverage_pct,observation_lag_median_ms,output_target_lag_median_ms
EgoAnchor w/o capture-time alignment,Head translation A,3,1294,19.871057999996992,0.0670751822018825,0.1323530776316344,3.946183786918502,8.310730465093004,3.3271224345669976,4.417747489290183,2.627909352736453,3.007845973275241,0.06647961276181581,0.14962781813442633,0.015833053318703702,0.031066303507912434,0.2219007274108074,0.03905784307265813,8.1022359252348,87.5579598145286,100.0,100.0,216.44240000023274,
EgoAnchor w/o temporal synthesis,Head translation A,3,1294,19.871057999996992,0.0670751822018825,0.1323530776316344,3.946183786918502,8.310730465093004,2.8017634971642296,3.4968080977178473,2.5624866357095226,2.7379533584771254,0.025251497008702575,0.05418255472244418,0.016660860659822384,0.032208840193797196,0.13836156243649464,0.046716490172174885,9.310022647008932,85.7032457496136,100.0,100.0,216.44240000023274,
One-Euro Anchor,Head translation A,3,1294,19.871057999996992,0.0670751822018825,0.1323530776316344,3.946183786918502,8.310730465093004,3.666665049612234,8.54397055077234,2.5999162339864776,3.5439362704339286,1.3624852570616055,2.8113528744149234,0.4798816071555152,0.931062981493358,2.65138750686236,0.8794605150666088,9.712618220933642,85.08500772797527,0.0,100.0,216.44240000023274,216.44240000023274
Arrival-Hold,Head translation B,4,1297,20.17162780000217,0.0588100919764537,0.1289810749092709,4.364836982499911,8.638357394314122,7.7221030523758705,16.70448425213161,2.589333478153092,4.13240336790525,2.799351757738964,6.188491644314228,0.8893055098110566,1.657207966038126,6.189170291619473,1.9771735146468845,9.617468749843734,85.04240555127217,0.0,100.0,216.46899999905145,48.66380000021309
Capture-Hold,Head translation B,4,1297,20.17162780000217,0.0588100919764537,0.1289810749092709,4.364836982499911,8.638357394314122,4.237233013473971,8.325443131242102,2.482803023220458,3.8558937715969424,0.9225243302304807,2.034887866901338,0.8615866825238607,1.5493524844305668,3.0822481322373,1.979327205651672,9.617468749843734,85.04240555127217,0.0,100.0,216.46899999905145,216.46899999905145
EgoAnchor,Head translation B,4,1297,20.17162780000217,0.0588100919764537,0.1289810749092709,4.364836982499911,8.638357394314122,3.220359187487808,3.8615412850934416,2.331507104859773,2.5451917170143643,0.027063094440131295,0.06816408266088535,0.014892765381208808,0.03289681188121564,0.1509361905648819,0.046040281612524,9.617468749843734,85.04240555127217,100.0,100.0,216.46899999905145,
EgoAnchor w/o StaticLock,Head translation B,4,1297,20.17162780000217,0.0588100919764537,0.1289810749092709,4.364836982499911,8.638357394314122,4.292855033114795,8.333842020996153,2.4872543907937232,3.805858328982486,0.7192634647980061,1.516585667634276,0.7088861500645703,1.2497086868158562,1.0032306102709496,0.6745013799580469,64.29823179663569,0.0,0.0,100.0,216.46899999905145,281.29178874223726
EgoAnchor w/o VCD,Head translation B,4,1297,20.17162780000217,0.0588100919764537,0.1289810749092709,4.364836982499911,8.638357394314122,3.220359187487808,3.8615412850934416,2.3315116341241344,2.5452027198590694,0.027063094440131295,0.06816408266088535,0.014892652141188472,0.032898712976931206,0.1509361905648819,0.04604429732927122,9.617468749843734,85.04240555127217,100.0,100.0,216.46899999905145,
EgoAnchor w/o capture-time alignment,Head translation B,4,1297,20.17162780000217,0.0588100919764537,0.1289810749092709,4.364836982499911,8.638357394314122,3.0685710903901904,3.5004697427778484,2.383910094928567,2.5921300108452776,0.07041474929976192,0.17653775663794827,0.013864568754964708,0.033786026708472236,0.20613993388448218,0.03900600101821242,7.337038015344705,88.58905165767155,100.0,100.0,216.46899999905145,
EgoAnchor w/o temporal synthesis,Head translation B,4,1297,20.17162780000217,0.0588100919764537,0.1289810749092709,4.364836982499911,8.638357394314122,3.2203595778425593,3.861541340676802,2.33150635311703,2.5451969774382466,0.027062794309706477,0.06816506113835913,0.014893042972772757,0.03289665730827425,0.15094061368576847,0.046043803966903184,9.617468749843734,85.04240555127217,100.0,100.0,216.46899999905145,
One-Euro Anchor,Head translation B,4,1297,20.17162780000217,0.0588100919764537,0.1289810749092709,4.364836982499911,8.638357394314122,4.203271700989754,8.00154288166211,2.4351616209626,3.637899189914142,0.36395557843569276,0.8897491997191344,0.3492004180501478,0.6652605923429645,1.4839257018186376,0.6795133885254404,9.617468749843734,85.04240555127217,0.0,100.0,216.46899999905145,216.46899999905145
