session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,baseline_variant,variant_id,variant_label,metric_name,metric_value_baseline,metric_value_variant,delta_variant_minus_baseline,paired_n
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,observation_age_p50_ms,47.75399999925867,216.57620000041788,168.82220000115922,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,observation_age_p95_ms,98.30219999712425,277.67591000083485,179.37371000371058,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,smoothing_delay_p50_ms,47.75399999925867,,,0
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,smoothing_delay_p95_ms,98.30219999712425,,,0
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,visual_perception_hz,9.662200445880814,9.662200445880814,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,,exp1_system_characterization/static_head_motion,Arrival-Hold,EgoAnchor,EgoAnchor,render_hz,64.91769440877175,64.91769440877175,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Capture-Hold,Capture-Hold,reference_coverage,1.0,1.0,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Capture-Hold,Capture-Hold,display_coverage,1.0,1.0,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Capture-Hold,Capture-Hold,output_coverage,1.0,1.0,0.0,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Capture-Hold,Capture-Hold,translation_error_mm_median,11.956629905299106,5.182864398810529,-6.773765506488577,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Capture-Hold,Capture-Hold,translation_error_mm_iqr,14.334379627869684,4.179805706113077,-10.154573921756606,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Capture-Hold,Capture-Hold,translation_error_mm_p95,33.59964860583734,10.052475153085565,-23.54717345275177,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Capture-Hold,Capture-Hold,rotation_error_deg_median,3.1718854842668307,3.0696817349666548,-0.10220374930017595,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Capture-Hold,Capture-Hold,rotation_error_deg_iqr,2.3902568905497277,2.104027701250179,-0.28622918929954855,1
20260717_203329_controller_right,exp1_system_characterization,static_head_motion,trial_001,event_001,exp1_system_characterization/static_head_motion,Arrival-Hold,Capture-Hold,Capture-Hold,rotation_error_deg_p95,7.828571963432489,6.521281320762965,-1.3072906426695239,1
