session_id,experiment_id,scenario_id,trial_id,event_id,condition_id,variant_id,variant_label,candidate_count,render_tick_count,candidate_arrival_p50_ms,candidate_arrival_p95_ms,candidate_processing_p50_ms,candidate_processing_p95_ms,observation_age_p50_ms,observation_age_p95_ms,smoothing_delay_p50_ms,smoothing_delay_p95_ms,visual_perception_hz,render_hz
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,,exp1_system_characterization/start_stop_6dof,Arrival-Hold,Arrival-Hold,87,577,167.0254999989993,207.71862000474357,74.26440000161529,82.47107999958098,42.692800001532305,97.3174800004926,42.692800001532305,97.3174800004926,9.900903013009883,64.6132979372178
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,,exp1_system_characterization/start_stop_6dof,Capture-Hold,Capture-Hold,87,577,167.05729999375762,207.75722000253154,74.26440000161529,82.47107999958098,216.93609999783803,276.19825999863673,216.93609999783803,276.19825999863673,9.900903013009883,64.6132979372178
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,,exp1_system_characterization/start_stop_6dof,EgoAnchor,EgoAnchor,87,577,166.91789999458706,207.63582000217866,74.26440000161529,82.47107999958098,216.92450000409735,276.18975999939715,,,9.900903013009883,64.6132979372178
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,,exp1_system_characterization/start_stop_6dof,One-Euro Anchor,One-Euro Anchor,87,577,167.08319999452215,207.7877800045826,74.26440000161529,82.47107999958098,216.937199998938,276.1989799968432,216.937199998938,276.1989799968432,9.900903013009883,64.6132979372178
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_001,exp1_system_characterization/start_stop_6dof,Arrival-Hold,Arrival-Hold,153,1065,166.9019000037224,209.27744000364328,73.75470000132918,85.33308000043034,48.9573000013479,98.76843999954872,48.9573000013479,98.76843999954872,9.543186857094241,66.62352417777322
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_001,exp1_system_characterization/start_stop_6dof,Capture-Hold,Capture-Hold,153,1065,166.9365000052494,209.31216000317363,73.75470000132918,85.33308000043034,222.5334999966435,296.9160799984817,222.5334999966435,296.9160799984817,9.543186857094241,66.62352417777322
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_001,exp1_system_characterization/start_stop_6dof,EgoAnchor,EgoAnchor,153,1065,166.78190000675386,209.1915400029393,73.75470000132918,85.33308000043034,222.52280000247993,296.9075599976346,288.13236951828003,309.9648356437683,9.543186857094241,66.62352417777322
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_001,exp1_system_characterization/start_stop_6dof,One-Euro Anchor,One-Euro Anchor,153,1065,166.97130000102334,209.34268000419252,73.75470000132918,85.33308000043034,222.5343999962206,296.9171199991248,222.5343999962206,296.9171199991248,9.543186857094241,66.62352417777322
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_002,exp1_system_characterization/start_stop_6dof,Arrival-Hold,Arrival-Hold,189,1313,166.87660000025062,207.8070999981719,71.97060000151396,83.516360001266,43.343600002117455,96.29305999842471,43.343600002117455,96.29305999842471,9.933209206963665,68.99502073665428
20260717_203749_controller_right,exp1_system_characterization,start_stop_6dof,trial_001,event_002,exp1_system_characterization/start_stop_6dof,Capture-Hold,Capture-Hold,189,1313,166.9079999992391,207.84261999942828,71.97060000151396,83.516360001266,216.59379999618977,277.4325999969733,216.59379999618977,277.4325999969733,9.933209206963665,68.99502073665428
